  id  |           name            | year_printed |  sheet   
  881 | Grassmere                 |         1985 | P29-Q29
  883 | Bay of Islands            |         1983 | Q05
  884 | Hukerenui                 |         1988 | Q06-R06
  886 | Maungaturoto              |         1981 | Q08
  888 | Helensville               |         1980 | Q10
  890 | Pukekohe                  |         1980 | Q12-R12
  892 | Tongaporutu               |         1986 | Q18
  894 | Stratford                 |         1987 | Q20
  895 | Hawera                    |         1987 | Q21
  898 | Cook Strait               |         1986 | Q27-R27
  899 | Cook Strait               |         1980 | Q27
  901 | Bream Head                |         1989 | R07
  903 | Warkworth                 |         1981 | R09
  905 | Auckland                  |         1981 | R11
  907 | Awakino                   |         1986 | R17
  908 | Ohura                     |         1987 | R18
  910 | Matemateaonga             |         1984 | R20
  912 | Wanganui                  |         1987 | R22
  914 | Paraparaumu               |         1983 | R25
  915 | Paraparaumu               |         1983 | R26
  917 | Wellington                |         1978 | R28
  919 | Barrier                   |         1983 | S08-T08
  921 | Hauraki Gulf              |         1983 | S10
  923 | Huntly                    |         1981 | S13
  924 | Te Awamutu                |         1980 | S15
  926 | Mangapehi                 |         1987 | S17
  928 | Raurimu                   |         1985 | S19
  930 | Kakatahi                  |         1987 | S21
  931 | Whangaehu                 |         1987 | S22
  933 | Levin                     |         1985 | S25
  935 | Lake Wairarapa            |         1980 | S27
  937 | Coromandel                |         1983 | T10-U10
  938 | Coromandel                |         1984 | T11
  940 | Paeroa                    |         1987 | T13
  942 | Tokoroa                   |         1983 | T16
  944 | Kuratau                   |         1984 | T18
  945 | Tongariro                 |         1984 | T19
  947 | Taihape                   |         1982 | T21
  949 | Kimbolton                 |         1982 | T23
  951 | Masterton                 |         1980 | T26
  953 | Ngongotaha                |         1982 | U15
  954 | Rotorua                   |         1982 | U16
  956 | Taupo                     |         1987 | U18
  958 | Kaweka                    |         1982 | U20
  960 | Ongaonga                  |         1983 | U22
  961 | Dannevirke                |         1985 | U23
  963 | Edgecumbe                 |         1988 | V15
  965 | Murupara                  |         1987 | V17
  967 | Te Haroto                 |         1988 | V19
  969 | Waipawa                   |         1983 | V22
  970 | Waipukurau                |         1985 | V23
  972 | Whakatane                 |         1988 | W15
  974 | Mohaka                    |         1989 | W19
  975 | Waimarama                 |         1982 | W22
  976 | Te Kaha                   |         1982 | X14
  978 | Motu                      |         1983 | X16
  980 | Tiniroto                  |         1986 | X18
  982 | Hikurangi                 |         1983 | Y15
  983 | Tauwhareparae             |         1984 | Y16
  985 | Gisborne                  |         1984 | Y18
  987 | Ruatoria                  |         1983 | Z15
  989 | Tolaga Bay                |         1983 | Z17
  990 | North Cape                |         1970 | N1-2
