  id  |                                 name                                 | series  |                   sheet                   | year_printed | uploadedmap_id |                                   extent                                   
  419 | Omaui and Bluff                                                      | NZMS1   | S181-182                                  |         1967 |                | BOX(168.202240813828 -46.6818022283299,168.823025622086 -46.4194965009494)
  314 | Wairarapa                                                            | NZMS1   | N162                                      |         1966 |                | BOX(175.500173557497 -41.2216995030385,175.990878805472 -40.9736552354036)
 1345 | Invercargill                                                         | NZMS260 | E46                                       |         1983 |                | BOX(168.05784876053 -46.4355988334511,168.598284670587 -46.1456722601749)
 1902 | Pipiriki                                                             | Topo50  | BJ32                                      |         2009 |                | BOX(174.806933795647 -39.537502100465,175.094429621309 -39.2086343852353)
 2363 | NAK36                                                                | NZMS13  | NAK36                                     |         1883 |                | BOX(173.837045662845 -35.8221523995664,174.123103044261 -35.5625982070165)
 1139 | Heaphy                                                               | NZMS1   | S7                                        |         1971 |                | BOX(171.987623567208 -41.0339356192849,172.478705050862 -40.7838400053454)
  636 | Reefton                                                              | NZMS1   | S38                                       |         1972 |                | BOX(171.500118025443 -42.2698981343579,171.998870155976 -42.0218605019622)
 1000 | Hokianga                                                             | NZMS1   | N14                                       |         1972 |                | BOX(173.232328116521 -35.5241913891013,173.691204398532 -35.2694604668755)
 2270 | Vincent                                                              | NZMS15  | 3                                         |         1903 |                | BOX(168.80844 -45.4018,169.21688 -44.91291)
  595 | Rimutaka                                                             | NZMS1   | N161                                      |         1974 |                | BOX(175.009468325999 -41.2216995030385,175.500174539395 -40.9736530111616)
   47 | Coromandel                                                           | NZMS1   | N40                                       |         1949 |                | BOX(175.500190217305 -36.7739336493061,175.961093960655 -36.525853025162)
 2165 | HaurakiPlains                                                        | NZMS15  |                                           |         1936 |                | BOX(175.30055 -37.44999,175.64977 -37.15352)
 1717 | Te Aumiti (French Pass)                                              | Topo50  | BP28                                      |         2009 |                | BOX(173.711775726144 -41.171121414066,174.001347774624 -40.8447426866871)
 2061 | Owaka                                                                | Topo50  | CG14                                      |         2009 |                | BOX(169.394542586615 -46.6361603138724,169.726978342978 -46.3033670902053)
 1958 | Cust                                                                 | Topo50  | BW23                                      |         2009 |                | BOX(172.258561795683 -43.4420346566219,172.557480897583 -43.1163559525201)
 1458 | Tarakohe                                                             | NZMS260 | N25                                       |         1984 |                | BOX(172.762981531672 -40.8463048041197,173.237309037644 -40.5761337122376)
  211 | Dargaville                                                           | NZMS1   | N23                                       |         1964 |                | BOX(173.674405250989 -36.0244888270895,174.134968250392 -35.7713047762693)
 2329 | Amuri                                                                | NZMS15  | 3                                         |         1927 |                | BOX(171.88281 -42.84966,172.57559 -42.43283)
 2230 | HawkesBay                                                            | NZMS15  | 3                                         |         1929 |                | BOX(176.1609 -39.81477,176.61572 -39.48143)
 1252 | Caswell                                                              | NZMS1   | S129                                      |         1974 |                | BOX(166.792150649028 -45.1558263097211,167.331712021788 -44.8894629471573)
 1963 | Reefton                                                              | Topo50  | BS21                                      |         2009 |                | BOX(171.693099780343 -42.1416170620128,171.988614928965 -41.8145194279609)
   15 | Porangahau                                                           | NZMS1   | N151                                      |         1955 |                | BOX(176.467129645457 -40.4765687946904,176.95578341453 -40.2245163540834)
