  id  |               name                | year_printed |         sheet         
 1933 | Rai Valley                        |         2009 | BQ27
 1934 | Ward                              |         2009 | BS29
 1935 | Kekerengu                         |         2009 | BS28
 1936 | Tapuae-o-Uenuku                   |         2009 | BS27
 1937 | Nelson                            |         2009 | BQ26
 1938 | Mapua                             |         2009 | BQ25
 1939 | Tapawera                          |         2009 | BQ24
 1940 | Te Wharau                         |         2009 | BQ35
 1941 | Martinborough                     |         2009 | BQ34
 1942 | Lake Wairarapa                    |         2009 | BQ33
 1943 | Lower Hutt                        |         2009 | BQ32
 1944 | Wellington                        |         2009 | BQ31
 1945 | Wangapeka Saddle                  |         2009 | BQ23
 1946 | Patanui Stream                    |         2009 | BQ36ptBQ35
 1947 | Severn                            |         2009 | BS25
 1948 | Mount Robert                      |         2009 | BS24
 1949 | Matakitaki                        |         2009 | BS23
 1950 | Waiau                             |         2009 | BU25
 1951 | Hanmer Springs                    |         2009 | BU24
 1952 | Boyle Village                     |         2009 | BU23
 1953 | Mount Muller                      |         2009 | BS26
 1954 | Oaro                              |         2009 | BU27
 1955 | Parnassus                         |         2009 | BU26
 1956 | Amberley Beach                    |         2009 | BW25ptBW24
 1957 | Rangiora                          |         2009 | BW24
 1958 | Cust                              |         2009 | BW23
 1959 | Akaroa                            |         2009 | BY25
 1960 | Birdlings Flat                    |         2009 | BY24
 1961 | Fishermans Point                  |         2009 | BY23
 1962 | Shenandoah                        |         2009 | BS22
 1963 | Reefton                           |         2009 | BS21
 1964 | Lake Sumner                       |         2009 | BU22
 1965 | Haupiri                           |         2009 | BU21
 1966 | Okarito                           |         2009 | BW15
 1967 | Birch Hill                        |         2009 | BY15
 1968 | Omarama                           |         2009 | CA15
 1969 | Otumotu Point                     |         2009 | BX12ptBY12
 1970 | Mount Ward                        |         2009 | BY14
 1971 | Lake Paringa                      |         2009 | BY13
 1972 | Haast                             |         2009 | BY12
 1973 | Hannahs Clearing                  |         2009 | BY11
 1974 | Lindis Pass                       |         2009 | CA14
 1975 | Lake Hawea                        |         2009 | CA13
 1976 | Minaret Bay                       |         2009 | CA12
 1977 | Aspiring Flats                    |         2009 | CA11
 1978 | Karamea                           |         2009 | BQ22
 1979 | Kongahu Point                     |         2009 | BQ21ptBQ22
 1980 | Charleston                        |         2009 | BS20
 1981 | Punakaiki                         |         2009 | BS19
 1982 | Moana                             |         2009 | BU20
 1983 | Kumara                            |         2009 | BU19
 1984 | Hokitika                          |         2009 | BU18
 1985 | Oxford                            |         2009 | BW22
 1986 | Springfield                       |         2009 | BW21
 1987 | Lake Coleridge                    |         2009 | BW20
 1988 | Taylors Camp                      |         2009 | BW19
 1989 | Whitcombe Pass                    |         2009 | BW18
 1990 | Harihari                          |         2009 | BW17
 1991 | Whataroa                          |         2009 | BW16
 1992 | Pendarves                         |         2009 | BY22
 1993 | Ashburton                         |         2009 | BY21
 1994 | Hinds                             |         2009 | BY20
 1995 | Arundel                           |         2009 | BY19
 1996 | Pareora                           |         2009 | CA19
 1997 | Ashwick Flat                      |         2009 | BY18
 1998 | Lake Tekapo                       |         2009 | BY17
 1999 | Mount Stevenson                   |         2009 | BY16
 2000 | Waituna                           |         2009 | CA18
 2001 | Cattle Creek                      |         2009 | CA17
 2002 | Otematata                         |         2009 | CA16
 2003 | Lake Williamson                   |         2009 | CA10
 2004 | Alabaster Pass                    |         2009 | CA09
 2005 | Milford Sound / Piopiotahi        |         2009 | CA08
 2006 | Cape Wanbrow                      |         2009 | CC19ptCC18
 2007 | Oamaru                            |         2009 | CC18
 2008 | Morrisons                         |         2009 | CC17
 2009 | Kyeburn                           |         2009 | CC16
 2010 | Patearoa                          |         2009 | CC15
 2011 | Taiaroa Head                      |         2009 | CE18
 2012 | Dunedin                           |         2009 | CE17
 2013 | Mosgiel                           |         2009 | CE16
